id,roi,side,dice,kappa,accuracy,sensitivity,specificity
012,vc,right,0.7505,0.6938,0.9999,0.6938,1.0000
092,hc,left,0.9052,0.9345,0.9999,0.9345,0.9999
092,hc,right,0.8875,0.9316,0.9999,0.9316,0.9999
092,vc,left,0.7061,0.6816,0.9999,0.6816,0.9999
092,vc,right,0.6802,0.6780,0.9999,0.6780,0.9999
060,hc,left,0.9202,0.9147,0.9999,0.9148,1.0000
060,hc,right,0.9161,0.9399,0.9999,0.9400,0.9999
060,vc,left,0.7620,0.7211,0.9999,0.7212,1.0000
060,vc,right,0.7684,0.7587,0.9999,0.7588,0.9999
072,hc,left,0.9042,0.9386,0.9999,0.9387,0.9999
072,hc,right,0.9000,0.9368,0.9999,0.9368,0.9999
072,vc,left,0.7613,0.7550,0.9999,0.7551,1.0000
072,vc,right,0.7095,0.7043,0.9999,0.7043,1.0000
071,hc,left,0.8879,0.9457,0.9999,0.9457,0.9999
071,hc,right,0.8865,0.9500,0.9999,0.9500,0.9999
071,vc,left,0.7668,0.6851,0.9999,0.6852,1.0000
071,vc,right,0.7293,0.6722,0.9999,0.6722,0.9999
065,hc,left,0.8983,0.8959,0.9999,0.8960,0.9999
065,hc,right,0.8981,0.9169,0.9999,0.9169,0.9999
065,vc,left,0.7366,0.7470,0.9999,0.7470,0.9999
065,vc,right,0.7470,0.7773,0.9999,0.7773,0.9999
091,hc,left,0.8369,0.9300,0.9999,0.9301,0.9999
091,hc,right,0.8564,0.9424,0.9999,0.9425,0.9999
091,vc,left,0.7275,0.5964,0.9998,0.5966,1.0000
091,vc,right,0.6916,0.5517,0.9998,0.5519,1.0000
087,hc,left,0.8054,0.8903,0.9998,0.8904,0.9999
087,hc,right,0.8286,0.9165,0.9998,0.9166,0.9999
087,vc,left,0.7229,0.5846,0.9998,0.5847,1.0000
087,vc,right,0.6972,0.5729,0.9998,0.5730,1.0000
076,hc,left,0.8144,0.9331,0.9999,0.9331,0.9999
076,hc,right,0.8069,0.9591,0.9999,0.9591,0.9999
076,vc,left,0.7031,0.5621,0.9998,0.5622,1.0000
076,vc,right,0.6926,0.5744,0.9998,0.5745,1.0000
030,hc,left,0.8929,0.9565,0.9999,0.9565,0.9999
030,hc,right,0.8551,0.9275,0.9998,0.9275,0.9999
030,vc,left,0.7816,0.7114,0.9999,0.7115,1.0000
030,vc,right,0.6852,0.6713,0.9998,0.6714,0.9999
049,hc,left,0.8874,0.8637,0.9999,0.8638,0.9999
049,hc,right,0.8670,0.8495,0.9998,0.8496,0.9999
049,vc,left,0.7310,0.6821,0.9999,0.6822,1.0000
049,vc,right,0.6149,0.6107,0.9998,0.6108,0.9999
088,hc,left,0.8989,0.8878,0.9999,0.8879,1.0000
088,hc,right,0.9127,0.8962,0.9999,0.8963,1.0000
088,vc,left,0.7921,0.7122,0.9999,0.7123,1.0000
088,vc,right,0.7744,0.6825,0.9999,0.6826,1.0000
009,hc,left,0.9169,0.9007,0.9999,0.9008,1.0000
009,hc,right,0.9233,0.9022,0.9999,0.9023,1.0000
009,vc,left,0.7484,0.7836,0.9999,0.7837,0.9999
009,vc,right,0.7606,0.8148,0.9999,0.8149,0.9999
093,hc,left,0.9136,0.9318,0.9999,0.9319,0.9999
093,hc,right,0.9271,0.9195,0.9999,0.9195,1.0000
093,vc,left,0.7506,0.6910,0.9999,0.6910,1.0000
093,vc,right,0.7743,0.7534,0.9999,0.7534,1.0000
041,hc,left,0.9154,0.9415,0.9999,0.9415,0.9999
041,hc,right,0.9206,0.9152,0.9999,0.9152,1.0000
041,vc,left,0.7912,0.6943,0.9999,0.6944,1.0000
041,vc,right,0.7539,0.6970,0.9999,0.6971,1.0000
036,hc,left,0.8997,0.9080,0.9999,0.9081,0.9999
036,hc,right,0.9078,0.9261,0.9999,0.9261,0.9999
036,vc,left,0.7312,0.7227,0.9999,0.7228,0.9999
036,vc,right,0.6894,0.8148,0.9999,0.8148,0.9999
073,hc,left,0.9006,0.9103,0.9999,0.9103,0.9999
073,hc,right,0.9156,0.9298,0.9999,0.9298,0.9999
073,vc,left,0.7343,0.7459,0.9999,0.7460,0.9999
073,vc,right,0.7249,0.6922,0.9999,0.6923,0.9999
006,hc,left,0.8983,0.8718,0.9999,0.8719,1.0000
006,hc,right,0.8903,0.8946,0.9999,0.8947,0.9999
006,vc,left,0.7603,0.7126,0.9999,0.7127,1.0000
006,vc,right,0.7343,0.6998,0.9999,0.6998,1.0000
089,hc,left,0.8980,0.8905,0.9999,0.8905,1.0000
089,hc,right,0.9181,0.9413,0.9999,0.9413,0.9999
089,vc,left,0.6829,0.7880,0.9999,0.7881,0.9999
089,vc,right,0.7413,0.7718,0.9999,0.7719,0.9999
047,hc,left,0.8867,0.9109,0.9999,0.9109,0.9999
047,hc,right,0.8961,0.9284,0.9999,0.9284,0.9999
047,vc,left,0.8087,0.7140,0.9999,0.7140,1.0000
047,vc,right,0.7885,0.7394,0.9999,0.7395,1.0000
059,hc,left,0.8967,0.8753,0.9999,0.8754,1.0000
059,hc,right,0.9228,0.9259,0.9999,0.9260,0.9999
059,vc,left,0.7386,0.6883,0.9999,0.6883,0.9999
059,vc,right,0.7802,0.7018,0.9999,0.7019,1.0000
005,hc,left,0.9088,0.8773,0.9999,0.8774,1.0000
005,hc,right,0.8953,0.8932,0.9999,0.8933,0.9999
005,vc,left,0.7440,0.6655,0.9999,0.6656,1.0000
005,vc,right,0.7489,0.6523,0.9999,0.6524,1.0000
054,hc,left,0.8719,0.9231,0.9998,0.9231,0.9999
054,hc,right,0.8483,0.8867,0.9998,0.8868,0.9999
054,vc,left,0.7155,0.5849,0.9998,0.5850,1.0000
054,vc,right,0.6495,0.5038,0.9998,0.5039,1.0000
094,hc,left,0.8926,0.9379,0.9999,0.9379,0.9999
094,hc,right,0.9099,0.9126,0.9999,0.9127,0.9999
094,vc,left,0.7382,0.6471,0.9998,0.6472,1.0000
094,vc,right,0.7454,0.6581,0.9999,0.6582,1.0000
063,hc,left,0.9150,0.9012,0.9999,0.9012,1.0000
063,hc,right,0.9162,0.9163,0.9999,0.9164,0.9999
063,vc,left,0.7460,0.7110,0.9999,0.7111,0.9999
063,vc,right,0.7195,0.7126,0.9999,0.7126,0.9999
010,hc,left,0.9065,0.8950,0.9999,0.8950,0.9999
010,hc,right,0.8967,0.8931,0.9999,0.8931,0.9999
010,vc,left,0.7366,0.7864,0.9999,0.7865,0.9999
010,vc,right,0.7030,0.7811,0.9999,0.7812,0.9999
023,hc,left,0.8940,0.9320,0.9999,0.9320,0.9999
023,hc,right,0.8904,0.9247,0.9999,0.9248,0.9999
