id,roi,side,dice,kappa,accuracy,sensitivity,specificity
029,vc,left,0.9201,0.9054,1.0000,0.9054,1.0000
029,vc,right,0.9063,0.8821,1.0000,0.8821,1.0000
021,hc,left,0.9534,0.9536,1.0000,0.9537,1.0000
021,hc,right,0.9510,0.9529,1.0000,0.9529,1.0000
021,vc,left,0.8684,0.8469,1.0000,0.8470,1.0000
021,vc,right,0.8679,0.8436,1.0000,0.8437,1.0000
050,hc,left,0.9599,0.9571,1.0000,0.9571,1.0000
050,hc,right,0.9404,0.9484,0.9999,0.9484,1.0000
050,vc,left,0.8638,0.8394,1.0000,0.8394,1.0000
050,vc,right,0.8590,0.8018,0.9999,0.8019,1.0000
012,hc,left,0.9612,0.9512,1.0000,0.9512,1.0000
012,hc,right,0.9631,0.9556,1.0000,0.9556,1.0000
012,vc,left,0.9350,0.9305,1.0000,0.9305,1.0000
012,vc,right,0.9236,0.9240,1.0000,0.9240,1.0000
092,hc,left,0.9570,0.9648,1.0000,0.9648,1.0000
092,hc,right,0.9435,0.9567,0.9999,0.9567,1.0000
092,vc,left,0.8959,0.8579,1.0000,0.8579,1.0000
092,vc,right,0.8282,0.7734,0.9999,0.7735,1.0000
060,hc,left,0.9645,0.9633,1.0000,0.9633,1.0000
060,hc,right,0.9581,0.9640,1.0000,0.9641,1.0000
060,vc,left,0.9239,0.8982,1.0000,0.8982,1.0000
060,vc,right,0.9008,0.8854,1.0000,0.8854,1.0000
072,hc,left,0.9604,0.9680,1.0000,0.9680,1.0000
072,hc,right,0.9530,0.9608,1.0000,0.9608,1.0000
072,vc,left,0.9072,0.8876,1.0000,0.8876,1.0000
072,vc,right,0.8702,0.8408,1.0000,0.8408,1.0000
071,hc,left,0.9635,0.9604,1.0000,0.9605,1.0000
071,hc,right,0.9597,0.9666,1.0000,0.9667,1.0000
071,vc,left,0.9375,0.9360,1.0000,0.9360,1.0000
071,vc,right,0.8979,0.8831,0.9999,0.8831,1.0000
065,hc,left,0.9560,0.9526,0.9999,0.9526,1.0000
065,hc,right,0.9541,0.9518,0.9999,0.9518,1.0000
065,vc,left,0.8873,0.8550,1.0000,0.8550,1.0000
065,vc,right,0.8907,0.8723,1.0000,0.8724,1.0000
091,hc,left,0.9523,0.9423,1.0000,0.9423,1.0000
091,hc,right,0.9576,0.9577,1.0000,0.9577,1.0000
091,vc,left,0.9496,0.9332,1.0000,0.9332,1.0000
091,vc,right,0.9432,0.9248,1.0000,0.9248,1.0000
087,hc,left,0.9608,0.9617,1.0000,0.9617,1.0000
087,hc,right,0.9628,0.9642,1.0000,0.9642,1.0000
087,vc,left,0.9577,0.9399,1.0000,0.9399,1.0000
087,vc,right,0.9446,0.9284,1.0000,0.9284,1.0000
076,hc,left,0.9474,0.9435,1.0000,0.9435,1.0000
076,hc,right,0.9500,0.9417,1.0000,0.9417,1.0000
076,vc,left,0.9434,0.9316,1.0000,0.9316,1.0000
076,vc,right,0.9372,0.9226,1.0000,0.9226,1.0000
030,hc,left,0.9594,0.9731,1.0000,0.9731,1.0000
030,hc,right,0.9427,0.9522,0.9999,0.9522,1.0000
030,vc,left,0.9270,0.9131,1.0000,0.9131,1.0000
030,vc,right,0.8819,0.8754,0.9999,0.8755,1.0000
049,hc,left,0.9499,0.9418,0.9999,0.9418,1.0000
049,hc,right,0.9402,0.9391,0.9999,0.9391,1.0000
049,vc,left,0.8739,0.8378,0.9999,0.8378,1.0000
049,vc,right,0.7969,0.7309,0.9999,0.7309,1.0000
088,hc,left,0.9527,0.9357,0.9999,0.9357,1.0000
088,hc,right,0.9560,0.9449,1.0000,0.9449,1.0000
088,vc,left,0.9119,0.8811,0.9999,0.8811,1.0000
088,vc,right,0.9110,0.8821,1.0000,0.8822,1.0000
009,hc,left,0.9653,0.9662,1.0000,0.9663,1.0000
009,hc,right,0.9649,0.9652,1.0000,0.9652,1.0000
009,vc,left,0.9148,0.9200,1.0000,0.9200,1.0000
009,vc,right,0.9054,0.8997,1.0000,0.8998,1.0000
093,hc,left,0.9596,0.9569,1.0000,0.9569,1.0000
093,hc,right,0.9617,0.9495,1.0000,0.9495,1.0000
093,vc,left,0.9015,0.8785,0.9999,0.8785,1.0000
093,vc,right,0.8991,0.8712,1.0000,0.8713,1.0000
041,hc,left,0.9678,0.9653,1.0000,0.9653,1.0000
041,hc,right,0.9563,0.9485,0.9999,0.9485,1.0000
041,vc,left,0.9283,0.8960,1.0000,0.8961,1.0000
041,vc,right,0.8854,0.8564,0.9999,0.8564,1.0000
036,hc,left,0.9553,0.9492,0.9999,0.9492,1.0000
036,hc,right,0.9541,0.9532,0.9999,0.9532,1.0000
036,vc,left,0.9022,0.8983,1.0000,0.8983,1.0000
036,vc,right,0.8583,0.8693,0.9999,0.8693,1.0000
073,hc,left,0.9555,0.9546,0.9999,0.9546,1.0000
073,hc,right,0.9584,0.9524,0.9999,0.9524,1.0000
073,vc,left,0.8744,0.8540,0.9999,0.8540,1.0000
073,vc,right,0.8809,0.8494,0.9999,0.8494,1.0000
006,hc,left,0.9532,0.9335,0.9999,0.9336,1.0000
006,hc,right,0.9464,0.9320,0.9999,0.9321,1.0000
006,vc,left,0.9148,0.9034,1.0000,0.9034,1.0000
006,vc,right,0.8944,0.8673,1.0000,0.8673,1.0000
089,hc,left,0.9614,0.9535,1.0000,0.9535,1.0000
089,hc,right,0.9554,0.9624,1.0000,0.9624,1.0000
089,vc,left,0.8640,0.8885,1.0000,0.8886,1.0000
089,vc,right,0.8878,0.8806,1.0000,0.8806,1.0000
047,hc,left,0.9557,0.9427,1.0000,0.9428,1.0000
047,hc,right,0.9509,0.9323,1.0000,0.9323,1.0000
047,vc,left,0.9342,0.9120,1.0000,0.9120,1.0000
047,vc,right,0.9190,0.9122,1.0000,0.9122,1.0000
059,hc,left,0.9643,0.9634,1.0000,0.9634,1.0000
059,hc,right,0.9608,0.9564,0.9999,0.9565,1.0000
059,vc,left,0.9222,0.8951,1.0000,0.8951,1.0000
059,vc,right,0.8990,0.8643,0.9999,0.8644,1.0000
005,hc,left,0.9615,0.9568,0.9999,0.9568,1.0000
005,hc,right,0.9547,0.9476,0.9999,0.9476,1.0000
005,vc,left,0.8997,0.8657,0.9999,0.8658,1.0000
005,vc,right,0.8973,0.8588,0.9999,0.8588,1.0000
054,hc,left,0.9614,0.9584,1.0000,0.9585,1.0000
054,hc,right,0.9624,0.9612,1.0000,0.9612,1.0000
054,vc,left,0.9420,0.9212,1.0000,0.9212,1.0000
054,vc,right,0.9333,0.9107,1.0000,0.9108,1.0000
094,hc,left,0.9592,0.9614,0.9999,0.9614,1.0000
094,hc,right,0.9599,0.9526,0.9999,0.9527,1.0000
094,vc,left,0.9141,0.8908,0.9999,0.8908,1.0000
094,vc,right,0.9060,0.8856,0.9999,0.8857,1.0000
063,hc,left,0.9601,0.9542,0.9999,0.9542,1.0000
063,hc,right,0.9602,0.9544,0.9999,0.9544,1.0000
063,vc,left,0.8952,0.8712,0.9999,0.8712,1.0000
063,vc,right,0.8672,0.8452,0.9999,0.8453,1.0000
010,hc,left,0.9632,0.9545,1.0000,0.9545,1.0000
010,hc,right,0.9568,0.9583,0.9999,0.9583,1.0000
010,vc,left,0.9086,0.9215,1.0000,0.9216,1.0000
010,vc,right,0.8893,0.9005,1.0000,0.9005,1.0000
055,hc,left,0.9579,0.9597,0.9999,0.9598,1.0000
055,hc,right,0.9592,0.9553,0.9999,0.9554,1.0000
055,vc,left,0.8861,0.8712,0.9999,0.8712,1.0000
055,vc,right,0.8741,0.8507,0.9999,0.8508,1.0000
023,hc,left,0.9208,0.9390,0.9999,0.9390,1.0000
023,hc,right,0.9375,0.9479,0.9999,0.9480,1.0000
023,vc,left,0.8966,0.9338,0.9999,0.9338,1.0000
023,vc,right,0.9009,0.9296,0.9999,0.9296,1.0000
066,hc,left,0.9599,0.9517,1.0000,0.9517,1.0000
066,hc,right,0.9601,0.9490,1.0000,0.9491,1.0000
066,vc,left,0.9389,0.9389,1.0000,0.9389,1.0000
066,vc,right,0.9089,0.8920,1.0000,0.8920,1.0000
035,hc,left,0.9557,0.9418,1.0000,0.9419,1.0000
035,hc,right,0.9575,0.9564,1.0000,0.9564,1.0000
035,vc,left,0.9195,0.9102,1.0000,0.9102,1.0000
035,vc,right,0.9017,0.8883,1.0000,0.8883,1.0000
032,hc,left,0.9467,0.9413,0.9999,0.9413,1.0000
032,hc,right,0.9548,0.9514,0.9999,0.9515,1.0000
032,vc,left,0.8874,0.8661,1.0000,0.8661,1.0000
032,vc,right,0.8701,0.8278,0.9999,0.8278,1.0000
046,hc,left,0.9584,0.9524,1.0000,0.9524,1.0000
046,hc,right,0.9548,0.9480,0.9999,0.9481,1.0000
046,vc,left,0.9112,0.8871,1.0000,0.8871,1.0000
046,vc,right,0.8974,0.8758,0.9999,0.8759,1.0000
026,hc,left,0.9535,0.9521,1.0000,0.9521,1.0000
026,hc,right,0.9507,0.9345,1.0000,0.9345,1.0000
026,vc,left,0.9353,0.9201,1.0000,0.9201,1.0000
026,vc,right,0.8655,0.8376,0.9999,0.8377,1.0000
007,hc,left,0.9614,0.9458,0.9999,0.9458,1.0000
007,hc,right,0.9597,0.9473,0.9999,0.9473,1.0000
007,vc,left,0.8880,0.8998,0.9999,0.8998,1.0000
007,vc,right,0.8916,0.9181,1.0000,0.9181,1.0000
048,hc,left,0.9580,0.9490,1.0000,0.9490,1.0000
048,hc,right,0.9580,0.9498,1.0000,0.9498,1.0000
048,vc,left,0.9054,0.8729,0.9999,0.8730,1.0000
048,vc,right,0.8928,0.8647,0.9999,0.8647,1.0000
003,hc,left,0.9509,0.9502,1.0000,0.9502,1.0000
003,hc,right,0.9459,0.9196,0.9999,0.9196,1.0000
003,vc,left,0.9421,0.9210,1.0000,0.9210,1.0000
003,vc,right,0.9071,0.8728,0.9999,0.8728,1.0000
004,hc,left,0.9573,0.9410,0.9999,0.9410,1.0000
004,hc,right,0.9469,0.9236,0.9999,0.9236,1.0000
004,vc,left,0.9173,0.8893,1.0000,0.8893,1.0000
004,vc,right,0.8680,0.8315,0.9999,0.8315,1.0000
011,hc,left,0.9564,0.9553,1.0000,0.9553,1.0000
011,hc,right,0.9591,0.9555,1.0000,0.9556,1.0000
011,vc,left,0.9210,0.9212,1.0000,0.9212,1.0000
011,vc,right,0.8889,0.8915,1.0000,0.8915,1.0000
090,hc,left,0.9672,0.9660,1.0000,0.9660,1.0000
090,hc,right,0.9649,0.9711,1.0000,0.9711,1.0000
090,vc,left,0.9166,0.8985,1.0000,0.8985,1.0000
090,vc,right,0.9068,0.8737,1.0000,0.8737,1.0000
074,hc,left,0.9648,0.9640,1.0000,0.9640,1.0000
074,hc,right,0.9652,0.9616,1.0000,0.9616,1.0000
074,vc,left,0.9108,0.8771,1.0000,0.8772,1.0000
074,vc,right,0.8977,0.8822,0.9999,0.8823,1.0000
017,hc,left,0.9632,0.9573,0.9999,0.9573,1.0000
017,hc,right,0.9574,0.9518,0.9999,0.9519,1.0000
017,vc,left,0.9142,0.8996,1.0000,0.8996,1.0000
017,vc,right,0.8890,0.8729,0.9999,0.8729,1.0000
034,hc,left,0.9401,0.9335,0.9999,0.9335,1.0000
034,hc,right,0.9289,0.9301,0.9999,0.9302,1.0000
034,vc,left,0.9082,0.9206,1.0000,0.9207,1.0000
034,vc,right,0.8612,0.8243,0.9999,0.8243,1.0000
061,hc,left,0.9320,0.9118,0.9999,0.9119,1.0000
061,hc,right,0.9494,0.9496,0.9999,0.9496,1.0000
061,vc,left,0.8248,0.8058,0.9999,0.8059,1.0000
061,vc,right,0.8566,0.8068,0.9999,0.8069,1.0000
014,hc,left,0.9600,0.9494,1.0000,0.9494,1.0000
014,hc,right,0.9573,0.9447,1.0000,0.9447,1.0000
014,vc,left,0.9314,0.9342,1.0000,0.9342,1.0000
014,vc,right,0.9335,0.9283,1.0000,0.9284,1.0000
018,hc,left,0.9572,0.9527,0.9999,0.9527,1.0000
018,hc,right,0.9572,0.9526,0.9999,0.9526,1.0000
018,vc,left,0.8927,0.8653,1.0000,0.8653,1.0000
018,vc,right,0.8947,0.8738,0.9999,0.8738,1.0000
001,hc,left,0.9156,0.8726,0.9999,0.8727,1.0000
001,hc,right,0.9147,0.8600,0.9999,0.8601,1.0000
001,vc,left,0.6918,0.5939,0.9999,0.5940,1.0000
001,vc,right,0.7745,0.7140,0.9999,0.7140,1.0000
040,hc,left,0.9542,0.9577,1.0000,0.9577,1.0000
040,hc,right,0.9586,0.9559,1.0000,0.9559,1.0000
040,vc,left,0.9086,0.8870,1.0000,0.8870,1.0000
040,vc,right,0.8854,0.8602,1.0000,0.8602,1.0000
058,hc,left,0.9549,0.9543,0.9999,0.9544,1.0000
058,hc,right,0.9595,0.9631,1.0000,0.9632,1.0000
058,vc,left,0.8921,0.8690,0.9999,0.8690,1.0000
058,vc,right,0.8732,0.8390,1.0000,0.8391,1.0000
008,hc,left,0.9553,0.9422,0.9999,0.9423,1.0000
008,hc,right,0.9515,0.9353,0.9999,0.9353,1.0000
008,vc,left,0.8766,0.9029,1.0000,0.9029,1.0000
008,vc,right,0.8421,0.8017,1.0000,0.8017,1.0000
067,hc,left,0.9566,0.9495,1.0000,0.9495,1.0000
067,hc,right,0.9521,0.9463,1.0000,0.9463,1.0000
067,vc,left,0.9047,0.8789,1.0000,0.8790,1.0000
067,vc,right,0.9101,0.8693,0.9999,0.8693,1.0000
038,hc,left,0.9605,0.9484,1.0000,0.9484,1.0000
038,hc,right,0.9604,0.9586,1.0000,0.9586,1.0000
038,vc,left,0.9134,0.9005,1.0000,0.9005,1.0000
038,vc,right,0.9264,0.9160,1.0000,0.9161,1.0000
013,hc,left,0.9593,0.9546,1.0000,0.9546,1.0000
013,hc,right,0.9599,0.9613,1.0000,0.9613,1.0000
013,vc,left,0.9160,0.9202,1.0000,0.9203,1.0000
013,vc,right,0.9138,0.9076,1.0000,0.9077,1.0000
037,hc,left,0.9599,0.9549,1.0000,0.9550,1.0000
037,hc,right,0.9517,0.9363,1.0000,0.9363,1.0000
037,vc,left,0.9631,0.9622,1.0000,0.9622,1.0000
037,vc,right,0.9559,0.9410,1.0000,0.9410,1.0000
016,hc,left,0.9603,0.9525,1.0000,0.9526,1.0000
016,hc,right,0.9552,0.9432,0.9999,0.9432,1.0000
016,vc,left,0.9228,0.8920,0.9999,0.8920,1.0000
016,vc,right,0.9039,0.8701,0.9999,0.8702,1.0000
022,hc,left,0.9595,0.9606,0.9999,0.9606,1.0000
022,hc,right,0.9603,0.9553,0.9999,0.9553,1.0000
022,vc,left,0.8962,0.8840,0.9999,0.8840,1.0000
022,vc,right,0.9101,0.8998,1.0000,0.8999,1.0000
075,hc,left,0.9594,0.9479,0.9999,0.9480,1.0000
075,hc,right,0.9603,0.9421,0.9999,0.9421,1.0000
075,vc,left,0.8689,0.8332,0.9999,0.8333,1.0000
075,vc,right,0.8514,0.8128,0.9999,0.8129,1.0000
