id,label,dice,kappa
056,4,0.8090,0.8751
057,1,0.9064,0.9404
057,2,0.7790,0.7902
057,3,0.9002,0.8859
057,4,0.7463,0.7563
058,1,0.9071,0.9025
058,2,0.7397,0.7887
058,3,0.9020,0.9268
058,4,0.7189,0.7775
059,1,0.9096,0.9056
059,2,0.7026,0.8032
059,3,0.9216,0.9391
059,4,0.7481,0.8215
060,1,0.9207,0.9450
060,2,0.7657,0.8192
060,3,0.9047,0.8903
060,4,0.7534,0.7481
061,1,0.8868,0.9253
061,2,0.6083,0.6923
061,3,0.9109,0.9014
061,4,0.6949,0.8372
062,1,0.8974,0.8819
062,2,0.7026,0.8087
062,3,0.9051,0.9099
062,4,0.6639,0.8186
063,1,0.9127,0.9186
063,2,0.7416,0.8025
063,3,0.9044,0.9283
063,4,0.6989,0.7184
064,1,0.9140,0.9442
064,2,0.7529,0.7774
064,3,0.9047,0.9036
064,4,0.6967,0.7224
065,1,0.8854,0.9095
065,2,0.6893,0.7270
065,3,0.8873,0.9221
065,4,0.7553,0.7837
066,1,0.9148,0.8956
066,2,0.7988,0.8559
066,3,0.8894,0.8989
066,4,0.7046,0.8058
067,1,0.9103,0.8958
067,2,0.7299,0.7455
067,3,0.9009,0.8940
067,4,0.7689,0.8069
068,1,0.9033,0.8852
068,2,0.7178,0.7948
068,3,0.8940,0.8931
068,4,0.7480,0.8145
071,1,0.8828,0.8299
071,2,0.7311,0.8617
071,3,0.8775,0.8162
071,4,0.7070,0.7604
072,1,0.9010,0.8657
072,2,0.7067,0.7760
072,3,0.8865,0.8612
072,4,0.6624,0.7073
073,1,0.9056,0.8983
073,2,0.7133,0.7553
073,3,0.8980,0.9126
073,4,0.6940,0.7686
074,1,0.9056,0.9253
074,2,0.7273,0.8149
074,3,0.9122,0.9210
074,4,0.7502,0.7840
075,1,0.9095,0.9113
075,2,0.6931,0.7981
075,3,0.9178,0.9472
075,4,0.6854,0.8225
076,1,0.8834,0.8510
076,2,0.7876,0.7958
076,3,0.8926,0.8636
076,4,0.8075,0.8281
077,1,0.8713,0.8283
077,2,0.7018,0.7409
077,3,0.8664,0.8106
077,4,0.7233,0.7082
078,1,0.8834,0.8804
078,2,0.7297,0.7623
078,3,0.8490,0.8356
078,4,0.6735,0.7179
087,1,0.9029,0.9125
087,2,0.8097,0.9211
087,3,0.9015,0.8936
087,4,0.7686,0.8303
088,1,0.8940,0.9229
088,2,0.7748,0.8819
088,3,0.8926,0.9119
088,4,0.7351,0.8268
089,1,0.9006,0.8931
089,2,0.6752,0.6223
089,3,0.9034,0.8990
089,4,0.6914,0.7016
090,1,0.9099,0.9118
090,2,0.7232,0.8382
090,3,0.9228,0.9235
090,4,0.7602,0.8523
091,1,0.8966,0.8827
091,2,0.7787,0.8822
091,3,0.8930,0.9005
091,4,0.7543,0.8527
092,1,0.8977,0.8897
092,2,0.6631,0.7250
092,3,0.8671,0.8226
092,4,0.5882,0.7156
093,1,0.9219,0.9145
093,2,0.7647,0.8281
093,3,0.9150,0.9140
093,4,0.7025,0.7866
094,1,0.9016,0.8855
094,2,0.7697,0.8098
094,3,0.9169,0.9164
094,4,0.7141,0.7606
095,1,0.8975,0.9129
095,2,0.7113,0.7342
095,3,0.9023,0.8937
095,4,0.7134,0.7237
