id,hc,dice,kappa,accuracy,sensitivity,specificity
00149,hc_left,0.8184,0.8100,0.9875,0.8165,0.9936
00149,hc_right,0.8210,0.7927,0.9865,0.8003,0.9940
00150,hc_left,0.8187,0.7897,0.9868,0.7972,0.9942
00150,hc_right,0.8006,0.8052,0.9869,0.8117,0.9927
00152,hc_left,0.7618,0.7426,0.9851,0.7505,0.9928
00152,hc_right,0.8026,0.7933,0.9876,0.7998,0.9937
00153,hc_left,0.8144,0.8550,0.9890,0.8595,0.9927
00153,hc_right,0.7504,0.7149,0.9840,0.7236,0.9930
00155,hc_left,0.6417,0.6377,0.9806,0.6476,0.9898
00155,hc_right,0.6711,0.6523,0.9799,0.6628,0.9900
00156,hc_left,0.8010,0.8536,0.9873,0.8586,0.9913
00156,hc_right,0.8247,0.8542,0.9888,0.8590,0.9929
00157,hc_left,0.8115,0.8288,0.9881,0.8344,0.9930
00157,hc_right,0.8003,0.7986,0.9866,0.8054,0.9929
00158,hc_left,0.7709,0.7564,0.9860,0.7637,0.9931
00158,hc_right,0.7914,0.7906,0.9859,0.7978,0.9924
00200,hc_left,0.7999,0.8023,0.9874,0.8085,0.9932
00200,hc_right,0.7822,0.8003,0.9852,0.8073,0.9913
00201,hc_left,0.8054,0.8343,0.9880,0.8397,0.9925
00201,hc_right,0.7870,0.8296,0.9856,0.8357,0.9905
00202,hc_left,0.7950,0.7734,0.9863,0.7808,0.9936
00202,hc_right,0.7806,0.7777,0.9857,0.7850,0.9924
00203,hc_left,0.7849,0.7682,0.9875,0.7748,0.9939
00203,hc_right,0.7787,0.7707,0.9850,0.7785,0.9923
00209,hc_left,0.7825,0.8021,0.9867,0.8083,0.9921
00209,hc_right,0.7118,0.6867,0.9821,0.6962,0.9915
00212,hc_left,0.8542,0.8649,0.9905,0.8694,0.9945
00212,hc_right,0.7952,0.7873,0.9866,0.7943,0.9931
00213,hc_left,0.8166,0.8055,0.9884,0.8116,0.9942
00213,hc_right,0.8137,0.8457,0.9876,0.8510,0.9921
00226,hc_left,0.8146,0.7931,0.9871,0.8002,0.9940
00226,hc_right,0.8072,0.7801,0.9866,0.7875,0.9940
00231,hc_left,0.8120,0.8027,0.9861,0.8099,0.9929
00231,hc_right,0.7917,0.7662,0.9842,0.7748,0.9927
00236,hc_left,0.7843,0.7569,0.9858,0.7647,0.9935
00236,hc_right,0.8498,0.8198,0.9900,0.8256,0.9958
00239,hc_left,0.8396,0.7915,0.9906,0.7973,0.9968
00239,hc_right,0.8493,0.7963,0.9904,0.8024,0.9970
00249,hc_left,0.6210,0.6161,0.9755,0.6287,0.9869
00249,hc_right,0.6135,0.6071,0.9743,0.6203,0.9863
00300,hc_left,0.8202,0.8025,0.9890,0.8084,0.9948
00300,hc_right,0.7581,0.7015,0.9847,0.7104,0.9943
00304,hc_left,0.8002,0.7873,0.9904,0.7924,0.9953
00304,hc_right,0.7971,0.7582,0.9889,0.7645,0.9955
00305,hc_left,0.7452,0.7688,0.9852,0.7758,0.9912
00305,hc_right,0.7804,0.7580,0.9861,0.7655,0.9935
00307,hc_left,0.8115,0.8331,0.9876,0.8388,0.9925
00307,hc_right,0.7275,0.6918,0.9810,0.7021,0.9914
00309,hc_left,0.6770,0.6773,0.9820,0.6864,0.9903
00309,hc_right,0.7199,0.6870,0.9818,0.6968,0.9917
00311,hc_left,0.7633,0.7944,0.9865,0.8006,0.9917
00311,hc_right,0.6694,0.6534,0.9815,0.6630,0.9908
00319,hc_left,0.7804,0.7694,0.9863,0.7766,0.9931
00319,hc_right,0.8261,0.8687,0.9891,0.8731,0.9926
00320,hc_left,0.7766,0.7920,0.9868,0.7983,0.9924
00320,hc_right,0.7194,0.7150,0.9828,0.7237,0.9909
00321,hc_left,0.8039,0.7877,0.9886,0.7938,0.9945
00321,hc_right,0.7989,0.7694,0.9872,0.7765,0.9943
00327,hc_left,0.7878,0.7849,0.9898,0.7901,0.9947
00327,hc_right,0.7703,0.7563,0.9883,0.7624,0.9943
00332,hc_left,0.7651,0.7980,0.9865,0.8041,0.9916
00332,hc_right,0.7277,0.7084,0.9833,0.7172,0.9918
00333,hc_left,0.7676,0.7847,0.9852,0.7918,0.9913
00333,hc_right,0.7150,0.7104,0.9809,0.7202,0.9899
00336,hc_left,0.7787,0.7761,0.9862,0.7831,0.9927
00336,hc_right,0.8022,0.7925,0.9859,0.7999,0.9928
00338,hc_left,0.7800,0.7944,0.9878,0.8003,0.9930
00338,hc_right,0.7237,0.7324,0.9843,0.7401,0.9913
00341,hc_left,0.7342,0.7487,0.9815,0.7577,0.9893
00341,hc_right,0.7672,0.7628,0.9829,0.7716,0.9909
00343,hc_left,0.7704,0.8657,0.9855,0.8704,0.9888
00343,hc_right,0.7906,0.8203,0.9858,0.8267,0.9912
00346,hc_left,0.7878,0.8198,0.9863,0.8259,0.9914
00346,hc_right,0.8026,0.8153,0.9869,0.8215,0.9925
00347,hc_left,0.7809,0.8564,0.9877,0.8608,0.9910
00347,hc_right,0.7274,0.7688,0.9841,0.7760,0.9899
