id,roi,side,dice,kappa,accuracy,sensitivity,specificity
012,vc,right,0.7408,0.7560,0.9999,0.7561,0.9999
092,hc,left,0.8971,0.8982,0.9999,0.8983,0.9999
092,hc,right,0.8640,0.9126,0.9998,0.9127,0.9999
092,vc,left,0.6549,0.6029,0.9998,0.6030,0.9999
092,vc,right,0.5902,0.5054,0.9998,0.5054,1.0000
060,hc,left,0.9184,0.8957,0.9999,0.8957,1.0000
060,hc,right,0.9018,0.9154,0.9999,0.9155,0.9999
060,vc,left,0.7679,0.7194,0.9999,0.7194,1.0000
060,vc,right,0.7483,0.7534,0.9999,0.7535,0.9999
072,hc,left,0.8996,0.9405,0.9999,0.9405,0.9999
072,hc,right,0.8838,0.9084,0.9999,0.9084,0.9999
072,vc,left,0.7087,0.6517,0.9999,0.6518,1.0000
072,vc,right,0.6664,0.6319,0.9999,0.6320,1.0000
071,hc,left,0.8809,0.9422,0.9999,0.9423,0.9999
071,hc,right,0.8788,0.9472,0.9999,0.9473,0.9999
071,vc,left,0.7289,0.6356,0.9998,0.6357,1.0000
071,vc,right,0.6983,0.6477,0.9998,0.6478,0.9999
065,hc,left,0.8888,0.8682,0.9999,0.8682,0.9999
065,hc,right,0.8858,0.8546,0.9999,0.8547,1.0000
065,vc,left,0.6875,0.6633,0.9999,0.6634,0.9999
065,vc,right,0.7530,0.7258,0.9999,0.7258,1.0000
091,hc,left,0.8999,0.9115,0.9999,0.9116,1.0000
091,hc,right,0.8936,0.8816,0.9999,0.8816,1.0000
091,vc,left,0.7774,0.6952,0.9998,0.6953,1.0000
091,vc,right,0.7546,0.6734,0.9998,0.6735,1.0000
087,hc,left,0.9030,0.8960,0.9999,0.8961,1.0000
087,hc,right,0.9016,0.9062,0.9999,0.9063,1.0000
087,vc,left,0.8145,0.7287,0.9998,0.7288,1.0000
087,vc,right,0.7712,0.7106,0.9998,0.7107,0.9999
076,hc,left,0.8814,0.9153,0.9999,0.9153,1.0000
076,hc,right,0.8916,0.9228,0.9999,0.9228,1.0000
076,vc,left,0.7888,0.7780,0.9999,0.7780,0.9999
076,vc,right,0.8052,0.7822,0.9999,0.7822,0.9999
030,hc,left,0.8947,0.9149,0.9999,0.9149,0.9999
030,hc,right,0.8634,0.8679,0.9999,0.8679,0.9999
030,vc,left,0.7507,0.6971,0.9999,0.6972,1.0000
030,vc,right,0.7045,0.7199,0.9998,0.7200,0.9999
049,hc,left,0.8872,0.8733,0.9999,0.8734,0.9999
049,hc,right,0.8451,0.8401,0.9998,0.8402,0.9999
049,vc,left,0.6992,0.6412,0.9999,0.6413,0.9999
049,vc,right,0.5548,0.5198,0.9998,0.5199,0.9999
088,hc,left,0.8950,0.8675,0.9999,0.8675,1.0000
